Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
359.10	8.3000	23.011	0.043458	1.8263	2.1870	5.2629	79.133	95.709	975.81	-0.23350	undefined	undefined	liquid
359.10	8.4000	23.015	0.043450	1.8242	2.1892	5.2570	79.127	95.696	976.55	-0.23371	undefined	undefined	liquid
359.10	8.5000	23.019	0.043443	1.8222	2.1915	5.2511	79.121	95.683	977.29	-0.23392	undefined	undefined	liquid
359.10	8.6000	23.023	0.043435	1.8201	2.1937	5.2453	79.115	95.671	978.03	-0.23413	undefined	undefined	liquid
359.10	8.7000	23.027	0.043428	1.8181	2.1959	5.2394	79.110	95.658	978.77	-0.23434	undefined	undefined	liquid
359.10	8.8000	23.031	0.043420	1.8161	2.1982	5.2336	79.104	95.645	979.50	-0.23454	undefined	undefined	liquid
359.10	8.9000	23.035	0.043413	1.8140	2.2004	5.2277	79.098	95.633	980.24	-0.23475	undefined	undefined	liquid
359.10	9.0000	23.038	0.043406	1.8120	2.2027	5.2219	79.092	95.621	980.97	-0.23495	undefined	undefined	liquid
359.10	9.1000	23.042	0.043398	1.8100	2.2049	5.2161	79.086	95.608	981.71	-0.23516	undefined	undefined	liquid
359.10	9.2000	23.046	0.043391	1.8080	2.2072	5.2102	79.081	95.596	982.44	-0.23536	undefined	undefined	liquid
359.10	9.3000	23.050	0.043384	1.8059	2.2094	5.2044	79.075	95.583	983.17	-0.23556	undefined	undefined	liquid
359.10	9.4000	23.054	0.043376	1.8039	2.2117	5.1986	79.069	95.571	983.89	-0.23577	undefined	undefined	liquid
359.10	9.5000	23.058	0.043369	1.8019	2.2139	5.1928	79.063	95.559	984.62	-0.23597	undefined	undefined	liquid
359.10	9.6000	23.062	0.043362	1.7999	2.2162	5.1870	79.058	95.547	985.35	-0.23617	undefined	undefined	liquid
359.10	9.7000	23.066	0.043354	1.7979	2.2184	5.1812	79.052	95.534	986.07	-0.23637	undefined	undefined	liquid
359.10	9.8000	23.070	0.043347	1.7959	2.2207	5.1755	79.046	95.522	986.80	-0.23656	undefined	undefined	liquid
359.10	9.9000	23.074	0.043340	1.7939	2.2230	5.1697	79.041	95.510	987.52	-0.23676	undefined	undefined	liquid
359.10	10.000	23.077	0.043332	1.7919	2.2252	5.1639	79.035	95.498	988.24	-0.23696	undefined	undefined	liquid
359.10	10.100	23.081	0.043325	1.7899	2.2275	5.1581	79.029	95.486	988.96	-0.23716	undefined	undefined	liquid
359.10	10.200	23.085	0.043318	1.7879	2.2297	5.1524	79.024	95.474	989.67	-0.23735	undefined	undefined	liquid
359.10	10.300	23.089	0.043311	1.7859	2.2320	5.1466	79.018	95.462	990.39	-0.23755	undefined	undefined	liquid
359.10	10.400	23.093	0.043304	1.7839	2.2343	5.1409	79.013	95.450	991.11	-0.23774	undefined	undefined	liquid
359.10	10.500	23.097	0.043296	1.7819	2.2365	5.1352	79.007	95.438	991.82	-0.23794	undefined	undefined	liquid
359.10	10.600	23.100	0.043289	1.7800	2.2388	5.1294	79.002	95.426	992.53	-0.23813	undefined	undefined	liquid
359.10	10.700	23.104	0.043282	1.7780	2.2411	5.1237	78.996	95.414	993.25	-0.23832	undefined	undefined	liquid
359.10	10.800	23.108	0.043275	1.7760	2.2434	5.1180	78.991	95.402	993.96	-0.23851	undefined	undefined	liquid
359.10	10.900	23.112	0.043268	1.7740	2.2456	5.1123	78.985	95.390	994.67	-0.23870	undefined	undefined	liquid
359.10	11.000	23.116	0.043261	1.7721	2.2479	5.1066	78.980	95.379	995.37	-0.23889	undefined	undefined	liquid
359.10	11.100	23.120	0.043253	1.7701	2.2502	5.1009	78.974	95.367	996.08	-0.23908	undefined	undefined	liquid
359.10	11.200	23.123	0.043246	1.7681	2.2525	5.0952	78.969	95.355	996.79	-0.23927	undefined	undefined	liquid
359.10	11.300	23.127	0.043239	1.7662	2.2548	5.0895	78.964	95.344	997.49	-0.23946	undefined	undefined	liquid
359.10	11.400	23.131	0.043232	1.7642	2.2570	5.0838	78.958	95.332	998.19	-0.23965	undefined	undefined	liquid
359.10	11.500	23.135	0.043225	1.7622	2.2593	5.0781	78.953	95.320	998.89	-0.23983	undefined	undefined	liquid
359.10	11.600	23.138	0.043218	1.7603	2.2616	5.0725	78.947	95.309	999.59	-0.24002	undefined	undefined	liquid
359.10	11.700	23.142	0.043211	1.7583	2.2639	5.0668	78.942	95.297	1000.3	-0.24021	undefined	undefined	liquid
359.10	11.800	23.146	0.043204	1.7564	2.2662	5.0612	78.937	95.286	1001.0	-0.24039	undefined	undefined	liquid
359.10	11.900	23.150	0.043197	1.7544	2.2685	5.0555	78.931	95.274	1001.7	-0.24058	undefined	undefined	liquid
359.10	12.000	23.153	0.043190	1.7525	2.2708	5.0499	78.926	95.263	1002.4	-0.24076	undefined	undefined	liquid
359.10	12.100	23.157	0.043183	1.7506	2.2731	5.0442	78.921	95.251	1003.1	-0.24094	undefined	undefined	liquid
359.10	12.200	23.161	0.043176	1.7486	2.2754	5.0386	78.916	95.240	1003.8	-0.24112	undefined	undefined	liquid
359.10	12.300	23.165	0.043169	1.7467	2.2777	5.0330	78.910	95.228	1004.5	-0.24131	undefined	undefined	liquid
359.10	12.400	23.168	0.043162	1.7448	2.2800	5.0274	78.905	95.217	1005.2	-0.24149	undefined	undefined	liquid
359.10	12.500	23.172	0.043155	1.7428	2.2823	5.0217	78.900	95.206	1005.8	-0.24167	undefined	undefined	liquid
359.10	12.600	23.176	0.043148	1.7409	2.2846	5.0161	78.895	95.195	1006.5	-0.24185	undefined	undefined	liquid
359.10	12.700	23.180	0.043141	1.7390	2.2869	5.0105	78.890	95.183	1007.2	-0.24203	undefined	undefined	liquid
359.10	12.800	23.183	0.043134	1.7371	2.2892	5.0049	78.885	95.172	1007.9	-0.24220	undefined	undefined	liquid
359.10	12.900	23.187	0.043128	1.7351	2.2915	4.9993	78.879	95.161	1008.6	-0.24238	undefined	undefined	liquid
359.10	13.000	23.191	0.043121	1.7332	2.2938	4.9938	78.874	95.150	1009.3	-0.24256	undefined	undefined	liquid
359.10	13.100	23.194	0.043114	1.7313	2.2961	4.9882	78.869	95.139	1010.0	-0.24274	undefined	undefined	liquid
359.10	13.200	23.198	0.043107	1.7294	2.2984	4.9826	78.864	95.128	1010.6	-0.24291	undefined	undefined	liquid
359.10	13.300	23.202	0.043100	1.7275	2.3007	4.9770	78.859	95.116	1011.3	-0.24309	undefined	undefined	liquid
359.10	13.400	23.205	0.043093	1.7256	2.3030	4.9715	78.854	95.105	1012.0	-0.24326	undefined	undefined	liquid
359.10	13.500	23.209	0.043087	1.7237	2.3053	4.9659	78.849	95.094	1012.7	-0.24344	undefined	undefined	liquid
359.10	13.600	23.213	0.043080	1.7218	2.3077	4.9604	78.844	95.083	1013.4	-0.24361	undefined	undefined	liquid
359.10	13.700	23.216	0.043073	1.7199	2.3100	4.9548	78.839	95.072	1014.0	-0.24378	undefined	undefined	liquid
359.10	13.800	23.220	0.043066	1.7180	2.3123	4.9493	78.834	95.062	1014.7	-0.24396	undefined	undefined	liquid
359.10	13.900	23.224	0.043059	1.7161	2.3146	4.9438	78.829	95.051	1015.4	-0.24413	undefined	undefined	liquid
359.10	14.000	23.227	0.043053	1.7142	2.3169	4.9382	78.824	95.040	1016.1	-0.24430	undefined	undefined	liquid
359.10	14.100	23.231	0.043046	1.7123	2.3193	4.9327	78.819	95.029	1016.7	-0.24447	undefined	undefined	liquid
359.10	14.200	23.235	0.043039	1.7104	2.3216	4.9272	78.814	95.018	1017.4	-0.24464	undefined	undefined	liquid
359.10	14.300	23.238	0.043032	1.7085	2.3239	4.9217	78.809	95.007	1018.1	-0.24481	undefined	undefined	liquid
359.10	14.400	23.242	0.043026	1.7067	2.3262	4.9162	78.804	94.997	1018.7	-0.24498	undefined	undefined	liquid
359.10	14.500	23.246	0.043019	1.7048	2.3286	4.9107	78.799	94.986	1019.4	-0.24515	undefined	undefined	liquid
359.10	14.600	23.249	0.043012	1.7029	2.3309	4.9052	78.795	94.975	1020.1	-0.24532	undefined	undefined	liquid
359.10	14.700	23.253	0.043006	1.7010	2.3332	4.8997	78.790	94.964	1020.7	-0.24548	undefined	undefined	liquid
359.10	14.800	23.256	0.042999	1.6992	2.3356	4.8942	78.785	94.954	1021.4	-0.24565	undefined	undefined	liquid
359.10	14.900	23.260	0.042992	1.6973	2.3379	4.8888	78.780	94.943	1022.1	-0.24582	undefined	undefined	liquid
359.10	15.000	23.264	0.042986	1.6954	2.3402	4.8833	78.775	94.933	1022.7	-0.24598	undefined	undefined	liquid
359.10	15.100	23.267	0.042979	1.6936	2.3426	4.8778	78.770	94.922	1023.4	-0.24615	undefined	undefined	liquid
359.10	15.200	23.271	0.042972	1.6917	2.3449	4.8724	78.766	94.911	1024.1	-0.24631	undefined	undefined	liquid
359.10	15.300	23.274	0.042966	1.6899	2.3472	4.8669	78.761	94.901	1024.7	-0.24647	undefined	undefined	liquid
359.10	15.400	23.278	0.042959	1.6880	2.3496	4.8615	78.756	94.890	1025.4	-0.24664	undefined	undefined	liquid
359.10	15.500	23.282	0.042953	1.6862	2.3519	4.8560	78.751	94.880	1026.0	-0.24680	undefined	undefined	liquid
359.10	15.600	23.285	0.042946	1.6843	2.3543	4.8506	78.746	94.870	1026.7	-0.24696	undefined	undefined	liquid
359.10	15.700	23.289	0.042939	1.6825	2.3566	4.8451	78.742	94.859	1027.3	-0.24713	undefined	undefined	liquid
359.10	15.800	23.292	0.042933	1.6806	2.3589	4.8397	78.737	94.849	1028.0	-0.24729	undefined	undefined	liquid
359.10	15.900	23.296	0.042926	1.6788	2.3613	4.8343	78.732	94.838	1028.6	-0.24745	undefined	undefined	liquid
359.10	16.000	23.299	0.042920	1.6769	2.3636	4.8289	78.728	94.828	1029.3	-0.24761	undefined	undefined	liquid
359.10	16.100	23.303	0.042913	1.6751	2.3660	4.8235	78.723	94.818	1029.9	-0.24777	undefined	undefined	liquid
359.10	16.200	23.306	0.042907	1.6733	2.3683	4.8181	78.718	94.807	1030.6	-0.24793	undefined	undefined	liquid
359.10	16.300	23.310	0.042900	1.6714	2.3707	4.8127	78.714	94.797	1031.2	-0.24809	undefined	undefined	liquid
359.10	16.400	23.313	0.042894	1.6696	2.3730	4.8073	78.709	94.787	1031.9	-0.24824	undefined	undefined	liquid
