Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
900.00	70.050	7.3518	0.13602	18.832	28.361	169.69	24.405	33.596	774.26	-0.71488	43.532	0.072705	supercritical
900.00	71.050	7.4335	0.13453	18.827	28.385	169.56	24.413	33.608	776.69	-0.71626	43.611	0.072888	supercritical
900.00	72.050	7.5147	0.13307	18.821	28.409	169.44	24.421	33.620	779.12	-0.71760	43.690	0.073071	supercritical
900.00	73.050	7.5954	0.13166	18.815	28.433	169.32	24.429	33.633	781.55	-0.71892	43.770	0.073253	supercritical
900.00	74.050	7.6756	0.13028	18.810	28.457	169.20	24.438	33.645	783.97	-0.72022	43.850	0.073436	supercritical
900.00	75.050	7.7554	0.12894	18.804	28.481	169.08	24.446	33.656	786.39	-0.72149	43.930	0.073619	supercritical
900.00	76.050	7.8346	0.12764	18.799	28.506	168.97	24.454	33.668	788.81	-0.72273	44.010	0.073802	supercritical
900.00	77.050	7.9133	0.12637	18.793	28.530	168.85	24.462	33.680	791.22	-0.72395	44.091	0.073985	supercritical
900.00	78.050	7.9916	0.12513	18.788	28.554	168.74	24.470	33.691	793.63	-0.72515	44.172	0.074168	supercritical
900.00	79.050	8.0694	0.12392	18.783	28.579	168.63	24.478	33.702	796.03	-0.72632	44.253	0.074351	supercritical
900.00	80.050	8.1467	0.12275	18.777	28.603	168.52	24.486	33.714	798.44	-0.72746	44.334	0.074535	supercritical
900.00	81.050	8.2236	0.12160	18.772	28.628	168.41	24.494	33.725	800.84	-0.72859	44.415	0.074718	supercritical
900.00	82.050	8.3000	0.12048	18.767	28.653	168.31	24.501	33.735	803.23	-0.72969	44.497	0.074902	supercritical
900.00	83.050	8.3760	0.11939	18.762	28.677	168.20	24.509	33.746	805.62	-0.73077	44.579	0.075085	supercritical
900.00	84.050	8.4515	0.11832	18.757	28.702	168.09	24.517	33.757	808.01	-0.73182	44.661	0.075269	supercritical
900.00	85.050	8.5265	0.11728	18.752	28.727	167.99	24.525	33.767	810.40	-0.73286	44.743	0.075452	supercritical
900.00	86.050	8.6012	0.11626	18.747	28.751	167.89	24.533	33.778	812.78	-0.73387	44.825	0.075636	supercritical
900.00	87.050	8.6753	0.11527	18.742	28.776	167.79	24.541	33.788	815.15	-0.73486	44.907	0.075820	supercritical
900.00	88.050	8.7491	0.11430	18.737	28.801	167.69	24.549	33.798	817.53	-0.73583	44.990	0.076004	supercritical
900.00	89.050	8.8224	0.11335	18.732	28.826	167.59	24.556	33.809	819.90	-0.73678	45.073	0.076188	supercritical
900.00	90.050	8.8953	0.11242	18.727	28.851	167.49	24.564	33.818	822.26	-0.73771	45.156	0.076372	supercritical
900.00	91.050	8.9678	0.11151	18.723	28.876	167.40	24.572	33.828	824.63	-0.73862	45.239	0.076556	supercritical
900.00	92.050	9.0399	0.11062	18.718	28.901	167.30	24.580	33.838	826.98	-0.73951	45.322	0.076740	supercritical
900.00	93.050	9.1115	0.10975	18.713	28.926	167.20	24.588	33.848	829.34	-0.74038	45.406	0.076924	supercritical
900.00	94.050	9.1827	0.10890	18.709	28.951	167.11	24.595	33.857	831.69	-0.74124	45.489	0.077108	supercritical
